"Province/State","Country/Region","Lat","Long","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","Recent Data","Location"
"-","Czechia","49.8175","15.472999999999999","437","441","444","448","450","453","456","465","465","49.8175,15.472999999999999"
"-","Denmark","61.8926","-6.9118","0","0","0","0","0","0","0","0","0","61.8926,-6.9118"
"-","Denmark","71.7069","-42.6043","0","0","0","0","0","0","0","0","0","71.7069,-42.6043"
"-","Denmark","56.2639","9.5018","628","628","628","629","629","630","631","633","633","56.2639,9.5018"
"-","Diamond Princess","0.0","0.0","13","13","13","13","13","13","13","13","13","0.0,0.0"
"-","Djibouti","11.8251","42.5903","61","61","61","61","61","61","61","61","61","11.8251,42.5903"
"-","Dominica","15.415","-61.371","0","0","0","0","0","0","0","0","0","15.415,-61.371"
"-","Dominican Republic","18.7357","-70.1627","1864","1889","1914","1926","1941","1953","1968","1984","1984","18.7357,-70.1627"
"-","Ecuador","-1.8312","-78.1834","10576","10627","10701","10749","10836","10864","10903","10922","10922","-1.8312,-78.1834"
"-","Egypt","26.820553000000004","30.802497999999996","5541","5560","5577","5590","5607","5627","5648","5661","5661","26.820553000000004,30.802497999999996"
"-","El Salvador","13.7942","-88.8965","764","765","770","774","777","782","785","788","788","13.7942,-88.8965"
"-","Equatorial Guinea","1.6508","10.2679","83","83","83","83","83","83","83","83","83","1.6508,10.2679"
"-","Eritrea","15.1794","39.7823","0","0","0","0","0","0","0","0","0","15.1794,39.7823"
"-","Estonia","58.5953","25.0136","64","64","64","64","64","64","64","64","64","58.5953,25.0136"
"-","Eswatini","-26.5225","31.4659","94","96","97","98","98","98","98","101","101","-26.5225,31.4659"
"-","Ethiopia","9.145","40.4897","933","949","966","974","986","996","1013","1022","1022","9.145,40.4897"
"-","Fiji","-17.7134","178.065","2","2","2","2","2","2","2","2","2","-17.7134,178.065"
"-","Finland","61.92411","25.748151","336","336","337","337","337","337","337","337","337","61.92411,25.748151"
"-","France","3.9339","-53.1258","62","62","62","63","63","63","63","63","63","3.9339,-53.1258"
"-","France","-17.6797","149.4068","0","0","0","0","2","2","2","2","2","-17.6797,149.4068"
"-","France","16.265","-61.551","18","18","23","23","23","24","24","24","24","16.265,-61.551"
"-","France","14.6415","-61.0242","18","18","18","18","18","18","18","18","18","14.6415,-61.0242"
