"Province/State","Country/Region","Lat","Long","Recent Data","Location"
"-","Mali","17.570692","-3.996166000000001","2311","17.570692,-3.996166000000001"
"-","Malta","35.9375","14.3754","1978","35.9375,14.3754"
"-","Mauritania","21.0079","-10.9408","6865","21.0079,-10.9408"
"-","Mauritius","-20.348404","57.552152","338","-20.348404,57.552152"
"-","Mexico","23.6345","-102.5528","579145","23.6345,-102.5528"
"-","Moldova","47.4116","28.3699","33239","47.4116,28.3699"
"-","Monaco","43.7333","7.4167","147","43.7333,7.4167"
"-","Mongolia","46.8625","103.8467","302","46.8625,103.8467"
"-","Montenegro","42.708678000000006","19.37439","4892","42.708678000000006,19.37439"
"-","Morocco","31.7917","-7.0926","74930","31.7917,-7.0926"
"-","Mozambique","-18.6657","35.5296","3393","-18.6657,35.5296"
"-","Namibia","-22.9576","18.4904","7685","-22.9576,18.4904"
"-","Nepal","28.1667","84.25","42949","28.1667,84.25"
"-","Netherlands","12.5211","-69.9683","1742","12.5211,-69.9683"
"-","Netherlands","12.1784","-68.2385","17","12.1784,-68.2385"
"-","Netherlands","12.1696","-68.99","74","12.1696,-68.99"
"-","Netherlands","18.0425","-63.0548","477","18.0425,-63.0548"
"-","Netherlands","52.1326","5.2913","0","52.1326,5.2913"
"-","New Zealand","-40.9006","174.886","1714","-40.9006,174.886"
"-","Nicaragua","12.865416","-85.207229","2913","12.865416,-85.207229"
"-","Niger","17.607789","8.081666","1104","17.607789,8.081666"
"-","Nigeria","9.082","8.6753","48092","9.082,8.6753"
"-","North Macedonia","41.6086","21.7453","13635","41.6086,21.7453"
"-","Norway","60.472","8.4689","10371","60.472,8.4689"
"-","Oman","21.512583","55.92325500000001","84648","21.512583,55.92325500000001"
"-","Pakistan","30.3753","69.3451","291683","30.3753,69.3451"
"-","Panama","8.538","-80.7821","77881","8.538,-80.7821"
"-","Papua New Guinea","-6.314993","143.95555","232","-6.314993,143.95555"
"-","Paraguay","-23.4425","-58.4438","16313","-23.4425,-58.4438"
"-","Peru","-9.19","-75.0152","594513","-9.19,-75.0152"
"-","Philippines","12.879721","121.774017","208096","12.879721,121.774017"
"-","Poland","51.9194","19.1451","62725","51.9194,19.1451"
"-","Portugal","39.3999","-8.2245","44794","39.3999,-8.2245"
"-","Qatar","25.3548","51.1839","119613","25.3548,51.1839"
"-","Romania","45.9432","24.9668","43244","45.9432,24.9668"
"-","Russia","61.52401","105.318756","893145","61.52401,105.318756"
"-","Rwanda","-1.9403","29.8739","2817","-1.9403,29.8739"
"-","Saint Kitts and Nevis","17.357822","-62.782998","17","17.357822,-62.782998"
"-","Saint Lucia","13.9094","-60.9789","26","13.9094,-60.9789"
"-","Saint Vincent and the Grenadines","12.9843","-61.2872","64","12.9843,-61.2872"
"-","San Marino","43.9424","12.4578","663","43.9424,12.4578"
"-","Sao Tome and Principe","0.1864","6.6131","873","0.1864,6.6131"
"-","Saudi Arabia","23.885942","45.079162","307207","23.885942,45.079162"
"-","Senegal","14.4974","-14.4524","10923","14.4974,-14.4524"
"-","Serbia","44.0165","21.0059","0","44.0165,21.0059"
"-","Seychelles","-4.6796","55.492","136","-4.6796,55.492"
"-","Sierra Leone","8.460555000000001","-11.779889","1646","8.460555000000001,-11.779889"
"-","Singapore","1.2833","103.8333","57039","1.2833,103.8333"
"-","Slovakia","48.669","19.699","3288","48.669,19.699"
"-","Slovenia","46.1512","14.9955","2897","46.1512,14.9955"
"-","Somalia","5.152149","46.199616","2812","5.152149,46.199616"
"-","South Africa","-30.5595","22.9375","585303","-30.5595,22.9375"
"-","South Sudan","6.877000000000002","31.307","1290","6.877000000000002,31.307"
"-","Spain","40.463667","-3.74922","150376","40.463667,-3.74922"
"-","Sri Lanka","7.873054","80.77179699999998","3043","7.873054,80.77179699999998"
"-","Sudan","12.8628","30.2176","6759","12.8628,30.2176"
"-","Suriname","3.9193","-56.0278","4160","3.9193,-56.0278"
"-","Sweden","60.128161","18.643501","0","60.128161,18.643501"
"-","Switzerland","46.8182","8.2275","39900","46.8182,8.2275"
"-","Syria","34.8021","38.9968","903","34.8021,38.9968"
"-","Taiwan*","23.7","121.0","478","23.7,121.0"
"-","Tajikistan","38.861","71.2761","7988","38.861,71.2761"
"-","Tanzania","-6.369028","34.888822","183","-6.369028,34.888822"
"-","Thailand","15.870032","100.992541","3328","15.870032,100.992541"
"-","Timor-Leste","-8.8742","125.7275","26","-8.8742,125.7275"
"-","Togo","8.6195","0.8248","1243","8.6195,0.8248"
"-","Trinidad and Tobago","10.6918","-61.2225","1469","10.6918,-61.2225"
"-","Tunisia","33.886917","9.537499","2342","33.886917,9.537499"
"-","Turkey","38.9637","35.2433","263745","38.9637,35.2433"
"-","US","40.0","-100.0","2540334","40.0,-100.0"
"-","Uganda","1.373333","32.290275","2489","1.373333,32.290275"
"-","Ukraine","48.3794","31.1656","76636","48.3794,31.1656"
"-","United Arab Emirates","23.424076","53.847818","72117","23.424076,53.847818"
"-","United Kingdom","18.2206","-63.0686","3","18.2206,-63.0686"
"-","United Kingdom","32.3078","-64.7505","164","32.3078,-64.7505"
"-","United Kingdom","18.4207","-64.64","40","18.4207,-64.64"
"-","United Kingdom","19.3133","-81.2546","204","19.3133,-81.2546"
"-","United Kingdom","49.3723","-2.3644","575","49.3723,-2.3644"
"-","United Kingdom","-51.7963","-59.5236","13","-51.7963,-59.5236"
"-","United Kingdom","36.1408","-5.3536","313","36.1408,-5.3536"
"-","United Kingdom","54.2361","-4.5481","312","54.2361,-4.5481"
"-","United Kingdom","16.742498","-62.187366","12","16.742498,-62.187366"
"-","United Kingdom","21.69400000000001","-71.7979","565","21.69400000000001,-71.7979"
"-","United Kingdom","55.3781","-3.4360000000000004","0","55.3781,-3.4360000000000004"
"-","Uruguay","-32.5228","-55.7658","1582","-32.5228,-55.7658"
"-","Uzbekistan","41.377491","64.585262","45970","41.377491,64.585262"
"-","Venezuela","6.4238","-66.5897","52564","6.4238,-66.5897"
"-","Vietnam","14.058324","108.277199","940","14.058324,108.277199"
"-","West Bank and Gaza","31.9522","35.2332","23060","31.9522,35.2332"
"-","Western Sahara","24.2155","-12.8858","8","24.2155,-12.8858"
"-","Yemen","15.552727","48.516388","1221","15.552727,48.516388"
"-","Zambia","-13.133897","27.849332","13029","-13.133897,27.849332"
"-","Zimbabwe","-19.015438","29.154857","5841","-19.015438,29.154857"
